"Rank"	"CCDS_ID"	"GENE_NAME"	"CHR"	"DESCRIPTION"	"N_SPECIES"	"PVAL"	"QVAL"	"FST"	"dNdS_REF"
"4400"	"4400"	"CCDS34300.1"	"RAB24"	"chr5"	"RAB24, member RAS oncogene family"	7	0.607	0.987	0.0343	0
"4401"	"4401"	"CCDS10654.1"	"PRRT2"	"chr16"	"proline-rich transmembrane protein 2"	6	0.607	0.987	0.0352	0
"4402"	"4402"	"CCDS5730.1"	"PMPCB"	"chr7"	"peptidase (mitochondrial processing) beta"	7	0.607	0.987	0.0139	0
"4403"	"4403"	"CCDS8079.1"	"PYGM"	"chr11"	"phosphorylase, glycogen, muscle"	7	0.607	0.987	0.068	0
"4404"	"4404"	"CCDS3839.1"	"ACSL1"	"chr4"	"acyl-CoA synthetase long-chain family member 1"	7	0.607	0.987	0.0331	0
"4405"	"4405"	"CCDS2223.2"	"COBLL1"	"chr2"	"COBL-like 1"	6	0.607	0.987	0.0606	0
"4406"	"4406"	"CCDS1616.1"	"CHRM3"	"chr1"	"cholinergic receptor, muscarinic 3"	7	0.607	0.987	0	0
"4407"	"4407"	"CCDS32589.1"	"ALDH3A2"	"chr17"	"aldehyde dehydrogenase 3 family, member A2"	6	0.607	0.987	0.0197	0
"4408"	"4408"	"CCDS8227.1"	"DNAJB13"	"chr11"	"DnaJ (Hsp40) related, subfamily B, member 13"	6	0.607	0.987	0.0109	0
"4409"	"4409"	"CCDS7697.1"	"RNH1"	"chr11"	"ribonuclease/angiogenin inhibitor 1"	5	0.607	0.987	0.0177	0
"4410"	"4410"	"CCDS12558.1"	"SERTAD3"	"chr19"	"SERTA domain containing 3"	6	0.607	0.987	0.0803	0
"4411"	"4411"	"CCDS4158.1"	"IL4"	"chr5"	"interleukin 4"	7	0.607	0.987	0.104	0
"4412"	"4412"	"CCDS5269.1"	"TCP1"	"chr6"	"t-complex 1"	7	0.607	0.987	0.128	0
"4413"	"4413"	"CCDS33082.1"	"LOC554235"	"chr19"	"hypothetical protein LOC554235"	6	0.607	0.987	0.0118	0
"4414"	"4414"	"CCDS13485.1"	"CDH26"	"chr20"	"cadherin-like 26"	6	0.607	0.987	0.0991	0
"4415"	"4415"	"CCDS308.1"	"IFI6"	"chr1"	"interferon, alpha-inducible protein 6"	4	0.607	0.987	0	0
"4416"	"4416"	"CCDS31439.1"	"SAAL1"	"chr11"	"serum amyloid A-like 1"	7	0.607	0.987	0.0832	0
"4417"	"4417"	"CCDS31358.1"	"OR51E1"	"chr11"	"olfactory receptor, family 51, subfamily E, member 1"	6	0.607	0.987	0.111	0
"4418"	"4418"	"CCDS8376.2"	"APOA5"	"chr11"	"apolipoprotein A-V"	5	0.607	0.987	0.118	0
"4419"	"4419"	"CCDS9998.1"	"JAG2"	"chr14"	"jagged 2"	7	0.607	0.987	0.0639	0
"4420"	"4420"	"CCDS8801.1"	"LASS5"	"chr12"	"LAG1 homolog, ceramide synthase 5"	7	0.607	0.987	0.0177	0
"4421"	"4421"	"CCDS12007.1"	"CNDP1"	"chr18"	"carnosine dipeptidase 1 (metallopeptidase M20 family)"	7	0.607	0.987	0.0918	0
"4422"	"4422"	"CCDS32649.1"	"KRTAP4-12"	"chr17"	"keratin associated protein 4-12"	3	0.607	0.987	0.155	0
"4423"	"4423"	"CCDS8413.1"	"C2CD2L"	"chr11"	"C2CD2-like"	7	0.607	0.987	0.0346	0
"4424"	"4424"	"CCDS34680.1"	"SAMD9"	"chr7"	"sterile alpha motif domain containing 9"	5	0.607	0.987	0.119	0
"4425"	"4425"	"CCDS14187.1"	"RS1"	"chrX"	"retinoschisin 1"	7	0.607	0.987	NA	0
"4426"	"4426"	"CCDS4274.1"	"SPRY4"	"chr5"	"sprouty homolog 4 (Drosophila)"	6	0.607	0.987	0	0
"4427"	"4427"	"CCDS5319.2"	"CYP2W1"	"chr7"	"cytochrome P450, family 2, subfamily W, polypeptide 1"	3	0.607	0.987	0.0716	0
"4428"	"4428"	"CCDS10026.1"	"OTUD7A"	"chr15"	"OTU domain containing 7A"	7	0.607	0.987	0	0
"4429"	"4429"	"CCDS13350.1"	"SDC4"	"chr20"	"syndecan 4"	7	0.607	0.987	0.0387	0
"4430"	"4430"	"CCDS34932.1"	"RRM2B"	"chr8"	"ribonucleotide reductase M2 B (TP53 inducible)"	7	0.607	0.987	0.0746	0
"4431"	"4431"	"CCDS14452.1"	"POF1B"	"chrX"	"premature ovarian failure, 1B"	6	0.607	0.987	NA	0
"4432"	"4432"	"CCDS9831.1"	"LTBP2"	"chr14"	"latent transforming growth factor beta binding protein 2"	7	0.607	0.987	0	0
"4433"	"4433"	"CCDS12623.1"	"ZNF575"	"chr19"	"zinc finger protein 575"	5	0.607	0.987	0	0
"4434"	"4434"	"CCDS12737.1"	"PLEKHA4"	"chr19"	"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4"	7	0.607	0.987	0	0
"4435"	"4435"	"CCDS42696.1"	"CCT7"	"chr2"	"chaperonin containing TCP1, subunit 7 (eta)"	3	0.607	0.987	0.204	0
"4436"	"4436"	"CCDS735.1"	"BRDT"	"chr1"	"bromodomain, testis-specific"	5	0.607	0.987	0.0349	0
"4437"	"4437"	"CCDS14544.1"	"IRS4"	"chrX"	"insulin receptor substrate 4"	6	0.607	0.987	NA	0
"4438"	"4438"	"CCDS43539.1"	"MAD1L1"	"chr7"	"MAD1 mitotic arrest deficient-like 1 (yeast)"	4	0.607	0.987	0.0986	0
"4439"	"4439"	"CCDS2830.1"	"HEMK1"	"chr3"	"HemK methyltransferase family member 1"	7	0.607	0.987	0.11	0
"4440"	"4440"	"CCDS3955.1"	"ITGA1"	"chr5"	"integrin, alpha 1"	7	0.607	0.987	0	0
"4441"	"4441"	"CCDS5908.1"	"TMEM176B"	"chr7"	"transmembrane protein 176B"	7	0.607	0.987	0.0955	0
"4442"	"4442"	"CCDS8400.1"	"ARCN1"	"chr11"	"archain 1"	7	0.607	0.987	0.0635	0
"4443"	"4443"	"CCDS6184.1"	"TRIM55"	"chr8"	"tripartite motif-containing 55"	7	0.607	0.987	0.237	0
"4444"	"4444"	"CCDS34578.1"	"PDGFA"	"chr7"	"platelet-derived growth factor alpha polypeptide"	3	0.607	0.987	0	0
"4445"	"4445"	"CCDS6691.1"	"ROR2"	"chr9"	"receptor tyrosine kinase-like orphan receptor 2"	6	0.607	0.987	0.023	0
"4446"	"4446"	"CCDS13552.1"	"SOX18"	"chr20"	"SRY (sex determining region Y)-box 18"	4	0.607	0.987	0.0684	0
"4447"	"4447"	"CCDS8364.1"	"HTR3B"	"chr11"	"5-hydroxytryptamine (serotonin) receptor 3B"	7	0.607	0.987	0.0535	0
"4448"	"4448"	"CCDS8827.1"	"KRT75"	"chr12"	"keratin 75"	7	0.607	0.987	0.0369	0
"4449"	"4449"	"CCDS31580.1"	"BEST1"	"chr11"	"bestrophin 1"	7	0.607	0.987	0.123	0
"4450"	"4450"	"CCDS42589.1"	"FLJ10490"	"chr19"	"hypothetical protein FLJ10490"	4	0.607	0.987	0.014	0
"4451"	"4451"	"CCDS11640.1"	"CCDC44"	"chr17"	"coiled-coil domain containing 44"	7	0.607	0.987	0.0879	0
"4452"	"4452"	"CCDS996.1"	"PSMB4"	"chr1"	"proteasome (prosome, macropain) subunit, beta type, 4"	7	0.607	0.987	0.185	0
"4453"	"4453"	"CCDS33641.1"	"HMG2L1"	"chr22"	"high-mobility group protein 2-like 1"	7	0.607	0.987	0.209	0
"4454"	"4454"	"CCDS12472.1"	"TMEM149"	"chr19"	"transmembrane protein 149"	7	0.607	0.987	0.0854	0
"4455"	"4455"	"CCDS8395.1"	"CD3G"	"chr11"	"CD3g molecule, gamma (CD3-TCR complex)"	6	0.607	0.987	0	0
"4456"	"4456"	"CCDS41532.1"	"JMJD1C"	"chr10"	"jumonji domain containing 1C"	4	0.607	0.987	0.269	0
"4457"	"4457"	"CCDS34977.1"	"SMARCA2"	"chr9"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	7	0.607	0.987	0.0547	0
"4458"	"4458"	"CCDS2655.1"	"CNOT10"	"chr3"	"CCR4-NOT transcription complex, subunit 10"	7	0.607	0.987	0	0
"4459"	"4459"	"CCDS35131.1"	"OR5C1"	"chr9"	"olfactory receptor, family 5, subfamily C, member 1"	6	0.607	0.987	0.252	0
"4460"	"4460"	"CCDS9106.1"	"RFX4"	"chr12"	"regulatory factor X, 4 (influences HLA class II expression)"	7	0.607	0.987	0.014	0
"4461"	"4461"	"CCDS13745.1"	"ATP6V1E1"	"chr22"	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"	7	0.607	0.987	0.0267	0
"4462"	"4462"	"CCDS2368.1"	"GPR1"	"chr2"	"G protein-coupled receptor 1"	6	0.607	0.987	0	0
"4463"	"4463"	"CCDS34316.1"	"LTC4S"	"chr5"	"leukotriene C4 synthase"	4	0.607	0.987	0.0662	0
"4464"	"4464"	"CCDS10349.2"	"FANCI"	"chr15"	"Fanconi anemia, complementation group I"	7	0.67	0.987	0.0879	0
"4465"	"4465"	"CCDS4144.1"	"SLC12A2"	"chr5"	"solute carrier family 12 (sodium/potassium/chloride transporters), member 2"	6	0.67	0.987	0	0
"4466"	"4466"	"CCDS12254.1"	"LDLR"	"chr19"	"low density lipoprotein receptor"	6	0.67	0.987	0	0
"4467"	"4467"	"CCDS31813.1"	"NCKAP1L"	"chr12"	"NCK-associated protein 1-like"	7	0.67	0.987	0	0
"4468"	"4468"	"CCDS7608.1"	"EIF3A"	"chr10"	"eukaryotic translation initiation factor 3, subunit A"	7	0.67	0.987	0.133	0
"4469"	"4469"	"CCDS14135.1"	"SHROOM2"	"chrX"	"shroom family member 2"	4	0.67	0.987	NA	0
"4470"	"4470"	"CCDS7324.1"	"TTC18"	"chr10"	"tetratricopeptide repeat domain 18"	7	0.67	0.987	0.0535	0
"4471"	"4471"	"CCDS11065.1"	"KIF1C"	"chr17"	"kinesin family member 1C"	5	0.67	0.987	0.0785	0
"4472"	"4472"	"CCDS5141.1"	"EPB41L2"	"chr6"	"erythrocyte membrane protein band 4.1-like 2"	7	0.67	0.987	0	0
"4473"	"4473"	"CCDS31782.1"	"ANO6"	"chr12"	"anoctamin 6"	7	0.67	0.987	0	0
"4474"	"4474"	"CCDS4971.1"	"COL9A1"	"chr6"	"collagen, type IX, alpha 1"	7	0.67	0.987	0.0168	0
"4475"	"4475"	"CCDS10378.1"	"IGF1R"	"chr15"	"insulin-like growth factor 1 receptor"	7	0.67	0.987	0	0
"4476"	"4476"	"CCDS43636.1"	"MET"	"chr7"	"met proto-oncogene (hepatocyte growth factor receptor)"	3	0.67	0.987	0.127	0
"4477"	"4477"	"CCDS13571.1"	"PRSS7"	"chr21"	"protease, serine, 7 (enterokinase)"	7	0.67	0.987	0.0123	0
"4478"	"4478"	"CCDS34227.1"	"FNIP1"	"chr5"	"folliculin interacting protein 1"	6	0.67	0.987	0.139	0
"4479"	"4479"	"CCDS4520.1"	"NEDD9"	"chr6"	"neural precursor cell expressed, developmentally down-regulated 9"	7	0.67	0.987	0	0
"4480"	"4480"	"CCDS32987.1"	"CCDC123"	"chr19"	"coiled-coil domain containing 123"	7	0.67	0.987	0.0665	0
"4481"	"4481"	"CCDS11634.1"	"MRC2"	"chr17"	"mannose receptor, C type 2"	6	0.67	0.987	0	0
"4482"	"4482"	"CCDS31285.1"	"SMC3"	"chr10"	"structural maintenance of chromosomes 3"	4	0.67	0.987	0.0161	0
"4483"	"4483"	"CCDS9266.1"	"TMEM132D"	"chr12"	"transmembrane protein 132D"	7	0.67	0.987	0	0
"4484"	"4484"	"CCDS8188.1"	"MRGPRF"	"chr11"	"MAS-related GPR, member F"	7	0.67	0.987	0	0
"4485"	"4485"	"CCDS12278.2"	"FBXW9"	"chr19"	"F-box and WD repeat domain containing 9"	3	0.67	0.987	0.224	0
"4486"	"4486"	"CCDS32617.1"	"CCT6B"	"chr17"	"chaperonin containing TCP1, subunit 6B (zeta 2)"	4	0.67	0.987	0	0
"4487"	"4487"	"CCDS4986.1"	"HTR1B"	"chr6"	"5-hydroxytryptamine (serotonin) receptor 1B"	7	0.67	0.987	0	0
"4488"	"4488"	"CCDS41852.1"	"TMEM120B"	"chr12"	"transmembrane protein 120B"	4	0.67	0.987	0.342	0
"4489"	"4489"	"CCDS32294.1"	"CPLX3"	"chr15"	"complexin 3"	7	0.67	0.987	0.0941	0
"4490"	"4490"	"CCDS7333.1"	"FUT11"	"chr10"	"fucosyltransferase 11 (alpha (1,3) fucosyltransferase)"	7	0.67	0.987	0.0879	0
"4491"	"4491"	"CCDS8222.1"	"RELT"	"chr11"	"RELT tumor necrosis factor receptor"	7	0.67	0.987	0.274	0
"4492"	"4492"	"CCDS3662.1"	"NHEDC2"	"chr4"	"Na+/H+ exchanger domain containing 2"	7	0.67	0.987	0	0
"4493"	"4493"	"CCDS1507.1"	"FAM71A"	"chr1"	"family with sequence similarity 71, member A"	5	0.67	0.987	0.0281	0
"4494"	"4494"	"CCDS9031.1"	"C12orf50"	"chr12"	"chromosome 12 open reading frame 50"	6	0.67	0.987	0.147	0
"4495"	"4495"	"CCDS9137.1"	"TCHP"	"chr12"	"trichoplein, keratin filament binding"	6	0.67	0.987	0.253	0
"4496"	"4496"	"CCDS6796.1"	"C9orf43"	"chr9"	"chromosome 9 open reading frame 43"	7	0.67	0.987	0.0081	0
"4497"	"4497"	"CCDS4013.1"	"MRPS27"	"chr5"	"mitochondrial ribosomal protein S27"	7	0.67	0.987	0	0
"4498"	"4498"	"CCDS7936.1"	"RAPSN"	"chr11"	"receptor-associated protein of the synapse"	6	0.67	0.987	0.116	0
"4499"	"4499"	"CCDS9051.1"	"NR2C1"	"chr12"	"nuclear receptor subfamily 2, group C, member 1"	7	0.67	0.987	0	0
"4500"	"4500"	"CCDS14004.1"	"MCHR1"	"chr22"	"melanin-concentrating hormone receptor 1"	7	0.67	0.987	0.117	0
"4501"	"4501"	"CCDS32259.1"	"FAM148B"	"chr15"	"family with sequence similarity 148, member B"	4	0.67	0.987	0.314	0
"4502"	"4502"	"CCDS231.1"	"HTR1D"	"chr1"	"5-hydroxytryptamine (serotonin) receptor 1D"	7	0.67	0.987	0	0
"4503"	"4503"	"CCDS8546.1"	"TAPBPL"	"chr12"	"TAP binding protein-like"	6	0.67	0.987	0.146	0
"4504"	"4504"	"CCDS13392.1"	"NCOA5"	"chr20"	"nuclear receptor coactivator 5"	7	0.67	0.987	0.0792	0
"4505"	"4505"	"CCDS10801.1"	"GOT2"	"chr16"	"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"	7	0.67	0.987	0	0
"4506"	"4506"	"CCDS13915.1"	"MCM5"	"chr22"	"minichromosome maintenance complex component 5"	7	0.67	0.987	0	0
"4507"	"4507"	"CCDS7749.1"	"STIM1"	"chr11"	"stromal interaction molecule 1"	7	0.67	0.987	0	0
"4508"	"4508"	"CCDS43018.1"	"BAIAP2L2"	"chr22"	"BAI1-associated protein 2-like 2"	4	0.67	0.987	0.119	0
"4509"	"4509"	"CCDS8043.1"	"SLC22A9"	"chr11"	"solute carrier family 22 (organic anion transporter), member 9"	5	0.67	0.987	0.0373	0
"4510"	"4510"	"CCDS5563.1"	"LIMK1"	"chr7"	"LIM domain kinase 1"	6	0.67	0.987	0.196	0
"4511"	"4511"	"CCDS42068.1"	"C15orf26"	"chr15"	"chromosome 15 open reading frame 26"	4	0.67	0.987	0	0
"4512"	"4512"	"CCDS1915.1"	"MCEE"	"chr2"	"methylmalonyl CoA epimerase"	6	0.67	0.987	0.0042	0
"4513"	"4513"	"CCDS11473.1"	"NAGS"	"chr17"	"N-acetylglutamate synthase"	7	0.67	0.987	0.00517	0
"4514"	"4514"	"CCDS10504.1"	"ZNF174"	"chr16"	"zinc finger protein 174"	7	0.67	0.987	0	0
"4515"	"4515"	"CCDS2852.1"	"GLYCTK"	"chr3"	"glycerate kinase"	6	0.67	0.987	0.124	0
"4516"	"4516"	"CCDS32467.1"	"LRRC36"	"chr16"	"leucine rich repeat containing 36"	5	0.67	0.987	0.359	0
"4517"	"4517"	"CCDS2797.1"	"AMT"	"chr3"	"aminomethyltransferase"	7	0.67	0.987	0.045	0
"4518"	"4518"	"CCDS12534.1"	"ZFP36"	"chr19"	"zinc finger protein 36, C3H type, homolog (mouse)"	5	0.67	0.987	0.0461	0
"4519"	"4519"	"CCDS30871.1"	"PGLYRP4"	"chr1"	"peptidoglycan recognition protein 4"	7	0.67	0.987	0	0
"4520"	"4520"	"CCDS7441.1"	"PDLIM1"	"chr10"	"PDZ and LIM domain 1"	7	0.67	0.987	0.0547	0
"4521"	"4521"	"CCDS10491.1"	"THOC6"	"chr16"	"THO complex 6 homolog (Drosophila)"	7	0.67	0.987	0.0337	0
"4522"	"4522"	"CCDS13830.1"	"CRYBB3"	"chr22"	"crystallin, beta B3"	6	0.67	0.987	0	0
"4523"	"4523"	"CCDS31695.1"	"OR6X1"	"chr11"	"olfactory receptor, family 6, subfamily X, member 1"	6	0.67	0.987	0.0378	0
"4524"	"4524"	"CCDS13195.1"	"C20orf160"	"chr20"	"chromosome 20 open reading frame 160"	7	0.67	0.987	0.0535	0
"4525"	"4525"	"CCDS9275.2"	"PUS1"	"chr12"	"pseudouridylate synthase 1"	5	0.67	0.987	0.0309	0
"4526"	"4526"	"CCDS2893.1"	"FAM3D"	"chr3"	"family with sequence similarity 3, member D"	7	0.67	0.987	0.0279	0
"4527"	"4527"	"CCDS32952.1"	"PLVAP"	"chr19"	"plasmalemma vesicle associated protein"	7	0.67	0.987	0.0388	0
"4528"	"4528"	"CCDS8512.1"	"FKBP4"	"chr12"	"FK506 binding protein 4, 59kDa"	7	0.67	0.987	0	0
"4529"	"4529"	"CCDS4323.1"	"FAM114A2"	"chr5"	"family with sequence similarity 114, member A2"	7	0.67	0.987	0.199	0
"4530"	"4530"	"CCDS8319.1"	"MMP27"	"chr11"	"matrix metallopeptidase 27"	6	0.67	0.987	0.16	0
"4531"	"4531"	"CCDS11607.1"	"RNF43"	"chr17"	"ring finger protein 43"	5	0.67	0.987	0.0124	0
"4532"	"4532"	"CCDS812.1"	"GSTM3"	"chr1"	"glutathione S-transferase M3 (brain)"	7	0.67	0.987	0.0878	0
"4533"	"4533"	"CCDS10683.1"	"ZNF764"	"chr16"	"zinc finger protein 764"	4	0.67	0.987	0.169	0
"4534"	"4534"	"CCDS11220.1"	"WSB1"	"chr17"	"WD repeat and SOCS box-containing 1"	7	0.67	0.987	0.0204	0
"4535"	"4535"	"CCDS4003.1"	"RAD17"	"chr5"	"RAD17 homolog (S. pombe)"	4	0.67	0.987	0.172	0
"4536"	"4536"	"CCDS2715.1"	"ZNF167"	"chr3"	"zinc finger protein 167"	4	0.67	0.987	0	0
"4537"	"4537"	"CCDS43385.1"	"FLJ41603"	"chr5"	"FLJ41603 protein"	4	0.67	0.987	0.0187	0
"4538"	"4538"	"CCDS9995.2"	"PLD4"	"chr14"	"phospholipase D family, member 4"	3	0.67	0.987	0.239	0
"4539"	"4539"	"CCDS13665.1"	"LCA5L"	"chr21"	"Leber congenital amaurosis 5-like"	4	0.67	0.987	0	0
"4540"	"4540"	"CCDS3204.1"	"GOLIM4"	"chr3"	"golgi integral membrane protein 4"	6	0.67	0.987	0.0081	0
"4541"	"4541"	"CCDS30686.1"	"ZNF642"	"chr1"	"zinc finger protein 642"	5	0.67	0.987	0.182	0
"4542"	"4542"	"CCDS31485.1"	"OR4B1"	"chr11"	"olfactory receptor, family 4, subfamily B, member 1"	4	0.67	0.987	0.143	0
"4543"	"4543"	"CCDS11248.1"	"PIPOX"	"chr17"	"pipecolic acid oxidase"	7	0.67	0.987	0	0
"4544"	"4544"	"CCDS9950.1"	"BCL11B"	"chr14"	"B-cell CLL/lymphoma 11B (zinc finger protein)"	4	0.67	0.987	0.0161	0
"4545"	"4545"	"CCDS14001.1"	"ADSL"	"chr22"	"adenylosuccinate lyase"	7	0.67	0.987	0	0
"4546"	"4546"	"CCDS3713.1"	"PDE5A"	"chr4"	"phosphodiesterase 5A, cGMP-specific"	6	0.67	0.987	0	0
"4547"	"4547"	"CCDS34047.1"	"CYP2U1"	"chr4"	"cytochrome P450, family 2, subfamily U, polypeptide 1"	6	0.67	0.987	0	0
"4548"	"4548"	"CCDS1510.1"	"FLVCR1"	"chr1"	"feline leukemia virus subgroup C cellular receptor 1"	7	0.67	0.987	0	0
"4549"	"4549"	"CCDS32030.1"	"OR4K17"	"chr14"	"olfactory receptor, family 4, subfamily K, member 17"	4	0.67	0.987	0.0342	0
"4550"	"4550"	"CCDS31676.1"	"LAYN"	"chr11"	"layilin"	7	0.67	0.987	0.0214	0
"4551"	"4551"	"CCDS10996.1"	"FAM57A"	"chr17"	"family with sequence similarity 57, member A"	6	0.67	0.987	0.169	0
"4552"	"4552"	"CCDS6248.1"	"OSGIN2"	"chr8"	"oxidative stress induced growth inhibitor family member 2"	7	0.67	0.987	0.0634	0
"4553"	"4553"	"CCDS31912.1"	"COQ5"	"chr12"	"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)"	7	0.67	0.987	0.0455	0
"4554"	"4554"	"CCDS13147.1"	"FOXA2"	"chr20"	"forkhead box A2"	6	0.67	0.987	0	0
"4555"	"4555"	"CCDS158.1"	"CASP9"	"chr1"	"caspase 9, apoptosis-related cysteine peptidase"	7	0.67	0.987	0.039	0
"4556"	"4556"	"CCDS3328.1"	"BDH1"	"chr3"	"3-hydroxybutyrate dehydrogenase, type 1"	6	0.67	0.987	0.0232	0
"4557"	"4557"	"CCDS585.1"	"LRRC42"	"chr1"	"leucine rich repeat containing 42"	7	0.67	0.987	0.0061	0
"4558"	"4558"	"CCDS9499.1"	"ITGBL1"	"chr13"	"integrin, beta-like 1 (with EGF-like repeat domains)"	7	0.67	0.987	0	0
"4559"	"4559"	"CCDS32157.1"	"WDR25"	"chr14"	"WD repeat domain 25"	7	0.67	0.987	0	0
"4560"	"4560"	"CCDS3201.1"	"WDR49"	"chr3"	"WD repeat domain 49"	6	0.67	0.987	0.0267	0
"4561"	"4561"	"CCDS10125.1"	"SLC30A4"	"chr15"	"solute carrier family 30 (zinc transporter), member 4"	7	0.67	0.987	0	0
"4562"	"4562"	"CCDS31119.1"	"OR2G6"	"chr1"	"olfactory receptor, family 2, subfamily G, member 6"	4	0.67	0.987	0.174	0
"4563"	"4563"	"CCDS34126.1"	"CEP72"	"chr5"	"centrosomal protein 72kDa"	3	0.67	0.987	0.0323	0
"4564"	"4564"	"CCDS7904.1"	"C11orf74"	"chr11"	"chromosome 11 open reading frame 74"	5	0.67	0.987	0	0
"4565"	"4565"	"CCDS32073.1"	"POLE2"	"chr14"	"polymerase (DNA directed), epsilon 2 (p59 subunit)"	3	0.67	0.987	0.103	0
"4566"	"4566"	"CCDS1548.1"	"LEFTY1"	"chr1"	"left-right determination factor 1"	3	0.67	0.987	0.107	0
"4567"	"4567"	"CCDS1494.1"	"SERTAD4"	"chr1"	"SERTA domain containing 4"	7	0.67	0.987	0.00325	0
"4568"	"4568"	"CCDS43258.1"	"COL25A1"	"chr4"	"collagen, type XXV, alpha 1"	4	0.67	0.987	0	0
"4569"	"4569"	"CCDS13233.1"	"AHCY"	"chr20"	"S-adenosylhomocysteine hydrolase"	7	0.67	0.987	0	0
"4570"	"4570"	"CCDS5729.1"	"NAPEPLD"	"chr7"	"N-acyl phosphatidylethanolamine phospholipase D"	6	0.67	0.987	0.0501	0
"4571"	"4571"	"CCDS2890.1"	"PDHB"	"chr3"	"pyruvate dehydrogenase (lipoamide) beta"	7	0.67	0.987	0.0785	0
"4572"	"4572"	"CCDS10943.2"	"LRRC50"	"chr16"	"leucine rich repeat containing 50"	3	0.67	0.987	0.0688	0
"4573"	"4573"	"CCDS8757.1"	"VDR"	"chr12"	"vitamin D (1,25- dihydroxyvitamin D3) receptor"	7	0.67	0.987	0.169	0
"4574"	"4574"	"CCDS6903.1"	"ODF2"	"chr9"	"outer dense fiber of sperm tails 2"	7	0.67	0.987	0.111	0
"4575"	"4575"	"CCDS41371.1"	"RP5-1000E10.4"	"chr1"	"suppressor of IKK epsilon"	7	0.67	0.987	0	0
"4576"	"4576"	"CCDS12039.1"	"RNF126"	"chr19"	"ring finger protein 126"	7	0.67	0.987	0.0154	0
